Unnamed: 0	제목	가수	가사
0	After LIKE	IVE (아이브)	"또 모르지 내 마음이
저 날씨처럼 바뀔지
날 나조차 다 알 수 없으니
그게 뭐가 중요하니
지금 네게 완전히
푹 빠졌단 게 중요한 거지
아마 꿈만 같겠지만
분명 꿈이 아니야
달리 설명할 수 없는
이건 사랑일 거야
방금 내가 말한 감정
감히 의심하지 마
그냥 좋다는 게 아냐
What's after 'LIKE'?
You and I
It's more than 'LIKE'
L 다음 또 O 다음 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
What's after 'LIKE'?
조심해 두 심장에 핀
새파란 이 불꽃이
저 태양보다 뜨거울 테니
난 저 위로 또 아래로
내 그래프는 폭이 커
Yeah that's me
두 번 세 번 피곤하게
자꾸 질문하지 마
내 장점이 뭔지 알아?
바로 솔직한 거야
방금 내가 말한 감정
감히 의심하지 마
그냥 좋다는 게 아냐
What's after 'LIKE'?
You and I
It's more than 'LIKE'
L 다음 또 O 다음 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
What's after 'LIKE'?
What after like 내 맘에 strike
지금 느낀 짜릿함은 마치 tike
LO 다음에 I 그 다음에 VE
여긴 너와 내 space
아무도 막지 못해
나를 보면 눈 깜빡할
시간 조차도 아까울 걸
드디어 만나 반가워
LOVE 사이 놓일 I
(What's after 'LIKE'?)
You and I
It's more than 'LIKE'
E 앞 또 V 앞 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
You and I
It's more than 'LIKE'
L 다음 또 O 다음 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
What's after 'LIKE'?"
1	새삥 (Prod. ZICO) (Feat. 호미들)	지코 (ZICO)	"기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I’m too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
나는 새삥
11년째 freshman
유명세를 걷어
현찰 대신 스펙을 stackin’
Ooh! You’re not savage
남의 멋만 쌔비지
난 취향을 감춰 그래
내 세컨 카는 수수께끼
Show and prove의 심볼
넘볼 수 없는 임금
The king is back 뽷!
다시 ’코’시국
암만 영끌해도 근본은 절대 못 사
눈팅으로 배운 너의 street fashion
뚜까 패고파
기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I’m too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
아마 나는 오늘도
미치게 하겠지 workin’
이유는 뻔하지 새로운 옷이
알어 니 위치는 겉만 하지 마
건방 빌린 게 티 나서 bro
이제 여름이 오니까 준비해
내 목에다 채워질 아이스체인
1234 옷을 세는 것도 지겨워 man
New thang
I love my hates
원해 new chain
우리 엄만 생일마다
새 가방이 생기지
신기록 갱신
우린 없어 배신
나는 매일 새신
Yessir I really came from zero
그래서 2배로 work
책임을 가진 삶은 생각보다 괴로워
언제나 let's go hard
내 옷은 새로워
난 운전할 때마다 맨 앞이라 외로워
안 무셔 drip check
내 옷들은 늘 새삥
아무도 못 말려 나란 바닥노무 쉐낀
멈출 수 없어 난 쌓아야 해 stack
안전모를 썼던
나는 절대 못해 cap
기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I’m too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
나는 새삥 모든 게 다 새삥"
2	Attention	NewJeans	"You and me
내 맘이 보이지
한참을 쳐다봐
가까이 다가가
You see
You see, ey ey ey ey

One, two, three
용기가 생겼지
이미 아는 네 눈치
고개를 돌려 천천히
여기
You see
여기 보이니

Looking for attention 너야겠어
확실하게 나로 만들겠어
Stop, eyyy
Drop the question
Drop the, drop the question
Want attention
Wanna want attention

You give me butterflies you know
내 맘은 온통 paradise
꿈에서 깨워주지 마

You got me looking for attention
You got me looking for attention
가끔은 정말
헷갈리지만
분명한 건
Got me looking for attention

널 우연히 마주친 척할래
못 본 척 지나갈래
You’re so fine
Gotta gotta get to know ya
나와 나와 걸어가 줘

지금 돌아서면
I need ya, need ya, need ya
To look at me back
Hey 다 들켰었나
널 보면 하트가 튀어나와

난 사탕을 찾는 baby (baby)
내 맘은 설레이지
Eyyy, drop the question
Drop the, drop the question
Want attention
Wanna want attention

You give me butterflies you know
내 맘은 온통 paradise
꿈에서 깨워주지 마

You got me looking for attention
You got me looking for attention
가끔은 정말
헷갈리지만
분명한 건
Got me looking for attention

You got me looking for attention
You got me looking for attention
가끔은 정말
헷갈리지만
분명한 건
Got me looking for attention

A T T E N T I on
Attention is what I want
A T T E N T I on
Attention is what I want
A T T E N T I on
Attention is what I want
A T T E N T I on
You got me looking for attention"
3	Pink Venom	BLACKPINK	"Kick in the door Waving the coco
팝콘이나 챙겨 껴들 생각 말고
I talk that talk Runways I walk walk
눈 감고 pop pop 안 봐도 척

One by one then Two by two
내 손끝 툭 하나에 다 무너지는 중
가짜 쇼 치곤 화려했지
Makes no sense You couldn’t get a dollar outta me

자 오늘 밤이야 난 독을 품은 꽃
네 혼을 빼앗은 다음 Look what you made us do

천천히 널 잠재울 FIRE 잔인할 만큼 아름다워

I bring the pain like

This that pink venom
This that pink venom
This that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like whoa whoa whoa
Straight to ya dome like ah ah ah

Taste that pink venom
Taste that pink venom
Taste that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like whoa whoa whoa
Straight to ya dome like ah ah ah

Black paint and ammo, got bodies like Rambo
Rest in peace, please light up a candle
This da life of a vandal, masked up and I’m still in Celine
Designer crimes or it wouldn’t be me

Diamonds shinin’ drive in silence I don’t mind it I’m ridin’
Flyin’ private side by side with da pilot Up in the sky
And I’m wildin’, stylin’ on them and there’s no chance
Cuz we got bodies on bodies like this a slow dance

자 오늘 밤이야 난 독을 품은 꽃
네 혼을 빼앗은 다음 Look what you made us do

천천히 널 잠재울 FIRE 잔인할 만큼 아름다워

I bring the pain like

This that pink venom
This that pink venom
This that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like whoa whoa whoa
Straight to ya dome like ah ah ah

Taste that pink venom
Taste that pink venom
Taste that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like whoa whoa whoa
Straight to ya dome like ah ah ah

원한다면 provoke us
감당 못해 and you know this

이미 퍼져버린 shot that potion 네 눈앞은 핑크빛 ocean

Come and give me all the smoke 도 아니면 모 like I’m so rock and roll

Come and give me all the smoke 다 줄 세워 봐 자 STOP DROP

I bring the pain like

La tatata La tatata La tatata La tatata
La tatata La tatata

Straight to ya
Straight to ya
Straight to ya dome like

La tatata La tatata La tatata La tatata
La tatata La tatata

I bring the pain like"
4	Hype boy	NewJeans	"(1,2,3,4)
Baby, got me looking so crazy
빠져버리는 daydream
Got me feeling you
너도 말해줄래

누가 내게 뭐라든
남들과는 달라 넌
Maybe you could be the one

날 믿어봐 한번
I’m not looking for just fun
Maybe I could be the one

Oh baby
예민하대 나 lately
너 없이는 매일 매일이 yeah
재미없어 어쩌지

I just want you
Call my phone right now
I just wanna hear you’re mine

‘Cause I know what you like boy
You’re my chemical hype boy
내 지난날들은
눈 뜨면 잊는 꿈
Hype boy 너만 원해
Hype boy 내가 전해

And we can go high
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy

눈을 감아
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy

잠에 들려고 잠에 들려 해도
네 생각에 또 새벽 세 시 uh-oh
알려줄 거야 they can’t have you no more
봐봐 여기 내 이름 써있다고
누가 내게 뭐라든
남들과는 달라 넌
Maybe you could be the one

날 믿어봐 한번
I’m not looking for just fun
Maybe I could be the one

Oh baby
예민하대 나 lately
너 없이는 매일 매일이 yeah
재미없어 어쩌지

I just want you
Call my phone right now
I just wanna hear you’re mine

‘Cause I know what you like boy
You’re my chemical hype boy
내 지난날들은
눈 뜨면 잊는 꿈
Hype boy 너만 원해
Hype boy 내가 전해

And we can go high
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy

눈을 감아
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy"
5	Shut Down	BLACKPINK	"Blackpink in your area
Blackpink in your area

컴백이 아냐 떠난 적 없으니까
고개들이 돌아 진정해 목 꺾일라
분홍빛의 얼음 drip drip drip freeze ‘em on sight
Shut it down what what what what

게임이 아냐 진 적이 없으니까
짖어봐 네 목에 목줄은 내 거니까
땅바닥에 닿은 pedal we go two zero five
Shut it down uh uh uh uh

초록 비를 내려 머리 위로 Don’t trip, baby
겸손하게 그냥 앉아있어 Just sit, baby

Praying for my downfall, many have tried, baby
Catch me when you hear my Lamborghini go vroom, vroom, vroom, vroom

When we pull up you know it’s a shutdown
간판 내리고 문 잠가 shut down
Whip it whip it whip it whip it
Whip it whip it whip it whip it
It’s black and it’s pink once the sun down

When we pull up you know it’s a shutdown
간판 내리고 문 잠가 shut down
Whip it whip it whip it whip it
Whip it whip it whip it whip it
Keep watching me shut it down

Nah
You don’t wanna be on my bad side that’s right I’m slidin’ through
Bunch of wannabes that wanna be me, me three if I was you
Been around the world, pearls on ya girl, VVS's we invested uh
Need a lesson see the necklace, see these dresses
We don’t buy it we request it uh

A rockstar, a popstar but rowdier
Say bye to the paparazzi, get my good side, I'll smile for ya
Know it ain’t fair to ya, it’s scarin’ ya like what now
Blackpink in your area, the area been shut down. It’s a shutdown

네 다음 답안지야 똑바로 봐 don’t sleep baby
뒤집어봐 이건 가격표야 ain’t cheap baby

Stay in your own lane ‘cause I’m ‘bout to swerve
Catch me when you hear my Lamborghini go vroom, vroom, vroom, vroom

When we pull up you know it’s a shutdown
간판 내리고 문 잠가 shut down


Whip it whip it whip it whip it
Whip it whip it whip it whip it

It’s black and it’s pink once the sun down

When we pull up you know it’s a shutdown
간판 내리고 문 잠가 shut down

Whip it whip it whip it whip it
Whip it whip it whip it whip it

Keep watching me shut it down

Shut it down Blackpink in your area
Shut it down woah woah woah woah
Shut it down Blackpink in your area
Keep talking we shut you down"
6	LOVE DIVE	IVE (아이브)	"네가 참 궁금해 그건 너도 마찬가지
이거면 충분해 쫓고 쫓는 이런 놀이
참을 수 없는 이끌림과 호기심
묘한 너와 나 두고 보면 알겠지

Woo 눈동자 아래로
Woo 감추고 있는 거
Woo yeah It’s so bad It’s good
난 그 맘을 좀 봐야겠어

Narcissistic, my god I love it
서로를 비춘 밤
아름다운 까만 눈빛 더 빠져 깊이
(넌 내게로 난 네게로)
숨 참고 love dive

Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive

마음은 이렇게 알다가도 모르지
사랑이라는 건 한순간에 필 테니
직접 들어와 두 눈으로 확인해
내 맘 가장 깊은 데로 오면 돼

Woo 망설일 시간은
Woo 3초면 되는 걸
Woo yeah It’s so bad It’s good
원하면 감히 뛰어들어

Narcissistic, my god I love it
서로를 비춘 밤
아름다운 까만 눈빛 더 빠져 깊이
(넌 내게로 난 네게로)
숨 참고 love dive

Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive

숨 참고 love dive
숨 참고 love dive
숨 참고 love dive
숨 참고 love dive

Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive"
7	그때 그 순간 그대로 (그그그)	WSG워너비 (가야G)	"잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며
사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠

생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나
뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠

그리운 목소리 그리던 얼굴 참 많이도 기다렸어

다시 만나자는 너의 한마디에 울컥 눈물이 나
결국 너였단 걸

알아
기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼

서로를 알아보고 그렇게 눈앞에 서있죠

우리 사랑했던 우리 다시 만나 그때 그 순간 그대로
사랑했고 사랑할 거니까

같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어

다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠

그리운 만남을 그리던 날들 참 많이도 기다렸어

다시 너를 만나 더욱 더 소중해 같은 마음이란 걸

알아
기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼

서로를 알아보고 그렇게 눈앞에 서있죠

우리 사랑했던 우리 다시 만나 그때 그 순간 그대로

사랑했고 사랑할 거니까

처음 느낌 그대로 설렘이 가득한 날

고마워 다시 돌아와줘서

그때 그 순간처럼 날

안아줘

결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼

서로를 알아보고 그렇게 눈앞에 서있죠

우리 사랑했던 우리 다시 만나 그때 그 순간 그대로

사랑했고 사랑할 거니까"
8	FOREVER 1	소녀시대 (GIRLS' GENERATION)	"FOREVER 1
It’s love It’s love
We’re not stopping

네가 머문 이 세상이 더
아름다운 건
겁 없이 외치던 말 '사랑해 너를'
영원하기에
You and I

터지는 눈물이
말하잖아
난 그냥 전부 던진 거야

아무런 망설임 따위도
멋대로 끌렸던 그대로
Oh my baby 달려가 안을게

I love 너의 모든 것, 내 전부인 너
우리는 영원
We are one

전율 속에 뜨거운 그 맘을 던져
Just like a love bomb
We are one

Girls, We are forever
(Yeah we are, We’re still FOREVER 1)

It’s now or never
(We keep on, We’re still FOREVER 1)

Yeah we’re forever
(Yeah we are, We’re still FOREVER 1)

날 꼭 안아 절대 놓치지 마
가슴이 뛰잖아

다시는 아파하지 마
너의 마음을
우린 다 알아
다 알아

내 곁에 있어 줘
이 순간도 마지막처럼
You know your love is crazy 항상 그랬지
Oh my baby 사랑해 기억해

I love 너의 모든 것, 내 전부인 너
우리는 영원
We are one

전율 속에 뜨거운 그 맘을 던져
Just like a love bomb
We are one

Girls, We are forever
(Yeah we are, We’re still FOREVER 1)

It’s now or never
(We keep on, We’re still FOREVER 1)

Yeah we’re forever
(Yeah we are, We’re still FOREVER 1)

언제나 너의 곁에 있고 싶은데
널 생각하면 강해져
There’s no one like you, no one like you
우리 꼭 영원하자

우리 머문 이 세상에서
네게 말했어
다시 태어나도 널 사랑할게
Cause we are the one

I love 너의 (Ooh I Love 나의)
모든 것 내 전부인 너 (전부인 너)
우리는 영원 (Ooh)
We are one

전율 속에 (그 전율 속에)
뜨거운 그 맘을 던져
Just like a love bomb (Just like a love bomb)
We are one

Girls, We are forever
(Yeah we are, We’re still FOREVER 1)

It’s now or never
(We keep on, We’re still FOREVER 1)

Yeah we’re forever
(Yeah we are, We’re still FOREVER 1)"
9	Cookie	NewJeans	"내가 만든 쿠키
너를 위해 구웠지
But you know that it ain’t for free, yeah

내가 만든 쿠키
너무 부드러우니
자꾸만 떠오르니

널 choco-chip으로
Sprinkle로
입맛 버리게 만들고 싶어
숨기고 있지만 널 더 보고 싶어

If you want it
You can get it
If you want it
네 목소리를 또 들려줘 boy

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

내가 만든 쿠키
너에게는 독이지
네 마음속을 녹이지
So good, yeah

Looking at my cookie
역시 향기부터 다르니 (Taste it)
한입은 모자라니

널 choco-chip으로
Sprinkle로
정신 못 차리게 만들고 싶어
숨기고 있지만 널 더 보고 싶어

If you want it
You can get it
If you want it
네 목소리를 또 들려줘 boy

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

Bet you know
Bet you know
Bet you know I
레시핀 없어 딴 데서는 못 찾아

Take it
Don't break it
I wanna see you taste it
Sugar, got sugar
난 재료 안 아끼지

Bet you know
Bet you know
Bet you know I
네 다이어트를 망치고 싶어 나

Take it
Don’t break it
I wanna see you taste it
Sugar, got sugar
Bet you want some

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

Yeah yo
Yeah yo
Mm mm
Yeah yo
Yeah yo
Mm mm

내가 만든 쿠키
Come and take a lookie
우리 집에만 있지 놀러 와

얼마든지 굽지
그런데 너 충치
생겨도 난 몰라

내가 만든 쿠키
Come and take a lookie
우리 집에만 있지 놀러 와

얼마든지 굽지
그런데 너 충치
생겨도 난 몰라"
